"gene","D","P_random","P_brownian","n","n1","n0","status","p_adjustp","p_adjustb","n_prop","n1_prop"
"FBgn0264978",0.64026677383796,0.001,0.009,213,17,196,"ok",0.00181912144702842,0.0515862068965517,0.71,0.07981220657277
"FBgn0051948",NA,NA,NA,9,0,9,"skipped",NA,NA,0.03,0
"FBgn0031423",0.98197820428543,0.436,0.096,14,5,9,"ok",0.490371957522789,0.232529447480267,0.0466666666666667,0.357142857142857
"FBgn0031418",0.948972331783788,0.331,0,159,18,141,"ok",0.383560030983734,0,0.53,0.113207547169811
"FBgn0031417",-0.129086629218033,0,0.687,71,29,42,"ok",0,0.789364055299539,0.236666666666667,0.408450704225352
"FBgn0014010",0.506448798850881,0,0,279,49,230,"ok",0,0,0.93,0.175627240143369
"FBgn0031413",0.152649455099621,0,0.158,228,106,122,"ok",0,0.318019508913555,0.76,0.464912280701754
"FBgn0028570",1.92319880715262,0.938,0.018,22,2,20,"ok",0.948460966542751,0.080652938974167,0.0733333333333333,0.0909090909090909
"FBgn0031410",-1.64762332219274,0,0.913,10,4,6,"ok",0,0.938727147766323,0.0333333333333333,0.4
"FBgn0051681",-16.9423541140224,0,0.703,8,1,7,"ok",0,0.79862401518747,0.0266666666666667,0.125
"FBgn0250841",-0.628822645758144,0.177,0.675,12,1,11,"ok",0.219198675496689,0.782184353214562,0.04,0.0833333333333333
"FBgn0031406",1.07008440352428,0.434,0.274,7,5,2,"ok",0.488489795918367,0.446518518518519,0.0233333333333333,0.714285714285714
"FBgn0042186",1.65961543719278,0.647,0.127,9,2,7,"ok",0.694839913854989,0.276251544892766,0.03,0.222222222222222
"FBgn0011832",NA,NA,NA,7,0,7,"skipped",NA,NA,0.0233333333333333,0
"FBgn0051682",-0.472534929344649,0.019,0.69,30,3,27,"ok",0.0287546788062721,0.79159509202454,0.1,0.1
"FBgn0052463",0.348267341773755,0.025,0.202,34,9,25,"ok",0.0369702211787965,0.370219908116386,0.113333333333333,0.264705882352941
"FBgn0051679",0.252699829503269,0.128,0.423,14,3,11,"ok",0.163350821070591,0.581157616806337,0.0466666666666667,0.214285714285714
"FBgn0262126",0.77361969575169,0.109,0.011,129,11,118,"ok",0.141272687892571,0.0586405345211581,0.43,0.0852713178294574
"FBgn0031374",0.454670868776174,0,0,286,103,183,"ok",0,0,0.953333333333333,0.36013986013986
"FBgn0267972",-0.011868157593601,0,0.521,96,21,75,"ok",0,0.664039190628328,0.32,0.21875
"FBgn0031378",NA,NA,NA,12,0,12,"skipped",NA,NA,0.04,0
"FBgn0031379",0.56386644770362,0.001,0.006,218,21,197,"ok",0.00181912144702842,0.039303776683087,0.726666666666667,0.0963302752293578
"FBgn0031381",1.08847934522279,0.596,0.007,67,5,62,"ok",0.646391300407793,0.0433847747281201,0.223333333333333,0.0746268656716418
"FBgn0003557",0.365533543663492,0,0.016,272,37,235,"ok",0,0.0750344827586207,0.906666666666667,0.136029411764706
"FBgn0028952",NA,NA,NA,13,0,13,"skipped",NA,NA,0.0433333333333333,0
"FBgn0026396",0.41023872583813,0,0.011,233,33,200,"ok",0,0.0586405345211581,0.776666666666667,0.141630901287554
"FBgn0031388",NA,NA,NA,18,0,18,"skipped",NA,NA,0.06,0
"FBgn0004507",0.627753910954317,0,0,294,38,256,"ok",0,0,0.98,0.129251700680272
"FBgn0027509",0.831691222338232,0.115,0.001,155,14,141,"ok",0.148294364831376,0.0103798785776236,0.516666666666667,0.0903225806451613
"FBgn0031392",0.391980294023692,0.015,0.185,67,7,60,"ok",0.0231042471042471,0.350828711773095,0.223333333333333,0.104477611940299
"FBgn0031393",-0.873190092119901,0.001,0.936,16,11,5,"ok",0.00181912144702842,0.953203539823009,0.0533333333333333,0.6875
"FBgn0031399",0.620506175874188,0,0,213,23,190,"ok",0,0,0.71,0.107981220657277
"FBgn0031401",0.203427748764841,0.014,0.3,32,15,17,"ok",0.0216699430936368,0.472732060566162,0.106666666666667,0.46875
"FBgn0267378",-0.421749037350191,0,0.929,83,15,68,"ok",0,0.948900913203038,0.276666666666667,0.180722891566265
"FBgn0040715",-2.55755944086817,0,0.873,11,2,9,"ok",0,0.912654088050315,0.0366666666666667,0.181818181818182
"FBgn0031398",0.249610875611284,0.051,0.35,21,5,16,"ok",0.0709565217391304,0.517327405211807,0.07,0.238095238095238
"FBgn0010288",0.514966830551614,0.059,0.142,53,6,47,"ok",0.0809947235604496,0.297471731139506,0.176666666666667,0.113207547169811
"FBgn0031397",1.05442681721475,0.581,0.02,96,4,92,"ok",0.632357948344853,0.0866618392469225,0.32,0.0416666666666667
"FBgn0031395",0.528578414760051,0,0.006,154,33,121,"ok",0,0.039303776683087,0.513333333333333,0.214285714285714
"FBgn0000097",0.112726307884515,0,0.239,238,99,139,"ok",0,0.410911075994828,0.793333333333333,0.415966386554622
"FBgn0031391",NA,NA,NA,11,0,11,"skipped",NA,NA,0.0366666666666667,0
"FBgn0031390",0.177159291021813,0,0.15,211,55,156,"ok",0,0.307502569373073,0.703333333333333,0.260663507109005
"FBgn0031389",NA,NA,NA,9,0,9,"skipped",NA,NA,0.03,0
"FBgn0040718",-0.965887232021919,0.007,0.901,10,3,7,"ok",0.0113810623556582,0.930947768281102,0.0333333333333333,0.3
"FBgn0001125",0.710352071411143,0.032,0.004,117,13,104,"ok",0.0463426911907067,0.0296054421768707,0.39,0.111111111111111
"FBgn0031377",0.531288475779242,0.004,0.038,99,11,88,"ok",0.00672737492973581,0.13012417739628,0.33,0.111111111111111
"FBgn0031375",0.191981956965145,0,0.096,295,80,215,"ok",0,0.232529447480267,0.983333333333333,0.271186440677966
"FBgn0040719",1.71232167027988,0.635,0.137,7,2,5,"ok",0.683363006923838,0.291176700408453,0.0233333333333333,0.285714285714286
"FBgn0026398",NA,NA,NA,16,0,16,"skipped",NA,NA,0.0533333333333333,0
"FBgn0026397",NA,NA,NA,5,0,5,"skipped",NA,NA,0.0166666666666667,0
"FBgn0031351",-6.91841177629572,0,0.797,10,9,1,"ok",0,0.864229047748483,0.0333333333333333,0.9
"FBgn0086758",0.147459003948173,0,0.213,250,45,205,"ok",0,0.381785831960461,0.833333333333333,0.18
"FBgn0011570",0.794424098483198,0.131,0.01,120,8,112,"ok",0.16677034358047,0.0548990825688073,0.4,0.0666666666666667
"FBgn0031357",0.252904462996814,0.001,0.218,46,18,28,"ok",0.00181912144702842,0.387267923408045,0.153333333333333,0.391304347826087
"FBgn0260648",NA,NA,NA,41,0,41,"skipped",NA,NA,0.136666666666667,0
"FBgn0031360",0.376269454090272,0,0.088,93,16,77,"ok",0,0.220101149425287,0.31,0.172043010752688
"FBgn0264494",0.245204440904698,0,0.107,117,59,58,"ok",0,0.249284796573876,0.39,0.504273504273504
"FBgn0031364",-2.02300586716493,0,0.85,11,2,9,"ok",0,0.898816045237674,0.0366666666666667,0.181818181818182
"FBgn0045497",-1.28835872537559,0,1,31,4,27,"ok",0,1,0.103333333333333,0.129032258064516
"FBgn0031372",NA,NA,NA,16,0,16,"skipped",NA,NA,0.0533333333333333,0
"FBgn0051663",0.213496710741334,0,0.066,295,84,211,"ok",0,0.185115537848606,0.983333333333333,0.284745762711864
"FBgn0031367",3.40580800031073,0.648,0.127,11,1,10,"ok",0.695851413189771,0.276251544892766,0.0366666666666667,0.0909090909090909
"FBgn0051933",-0.551263849374519,0.001,0.787,23,6,17,"ok",0.00181912144702842,0.856801237150914,0.0766666666666667,0.260869565217391
"FBgn0045501",-0.0491967343766181,0.028,0.547,14,5,9,"ok",0.0409662591687042,0.685353433835846,0.0466666666666667,0.357142857142857
"FBgn0265138",-1.59343732433348,0,0.393,4,2,2,"ok",0,0.555763204537398,0.0133333333333333,0.5
"FBgn0031365",NA,NA,NA,4,4,0,"skipped",NA,NA,0.0133333333333333,1
"FBgn0041249",-1.80222714418326,0,0.854,8,2,6,"ok",0,0.900658442016214,0.0266666666666667,0.25
"FBgn0027597",-0.4007531373505,0,0.887,111,13,98,"ok",0,0.921574442225888,0.37,0.117117117117117
"FBgn0031361",2.81199002055508,0.707,0.166,64,1,63,"ok",0.749789632255206,0.327566034624897,0.213333333333333,0.015625
"FBgn0000579",0.123647181624231,0,0.204,280,87,193,"ok",0,0.372062176165803,0.933333333333333,0.310714285714286
"FBgn0031359",0.211191769283967,0,0.133,299,39,260,"ok",0,0.285361061312298,0.996666666666667,0.130434782608696
"FBgn0086698",0.319200112513483,0,0.073,257,22,235,"ok",0,0.196594059405941,0.856666666666667,0.0856031128404669
"FBgn0031356",0.0817298909826243,0,0.388,80,24,56,"ok",0,0.55110182767624,0.266666666666667,0.3
"FBgn0021906",0.377562527217074,0,0.075,123,18,105,"ok",0,0.199688542825361,0.41,0.146341463414634
"FBgn0051935",0.119862623304245,0,0.328,63,25,38,"ok",0,0.498034001522456,0.21,0.396825396825397
"FBgn0031347",0.271867791255118,0,0.113,81,36,45,"ok",0,0.25715611332953,0.27,0.444444444444444
"FBgn0031345",NA,NA,NA,9,9,0,"skipped",NA,NA,0.03,1
"FBgn0031327",-0.0674402440485371,0,0.573,76,9,67,"ok",0,0.70530330145017,0.253333333333333,0.118421052631579
"FBgn0041097",0.488734104756763,0,0,296,55,241,"ok",0,0,0.986666666666667,0.185810810810811
"FBgn0011294",1.25565479988623,0.736,0.029,40,3,37,"ok",0.776622112502204,0.110532484076433,0.133333333333333,0.075
"FBgn0026141",0.833010220062679,0.111,0,147,17,130,"ok",0.143709216789269,0,0.49,0.115646258503401
"FBgn0031337",-0.265919664729669,0.02,0.64,19,3,16,"ok",0.030070351758794,0.755973154362416,0.0633333333333333,0.157894736842105
"FBgn0051928",0.183782403912483,0.095,0.425,16,3,13,"ok",0.124571052919908,0.582768102658112,0.0533333333333333,0.1875
"FBgn0053128",0.229262946427786,0,0.209,79,13,66,"ok",0,0.377328707195655,0.263333333333333,0.164556962025316
"FBgn0051926",0.732877012613543,0.183,0.347,14,12,2,"ok",0.22599772985244,0.515055934515689,0.0466666666666667,0.857142857142857
"FBgn0051661",-0.210783283410687,0.019,0.617,20,4,16,"ok",0.0287546788062721,0.739238762638903,0.0666666666666667,0.2
"FBgn0031344",0.0488204748377532,0,0.412,96,36,60,"ok",0,0.572817843866171,0.32,0.375
"FBgn0031343",34.0047224648939,0.85,0.133,13,1,12,"ok",0.876512148888506,0.285361061312298,0.0433333333333333,0.0769230769230769
"FBgn0002543",0.598095613880051,0,0.001,291,39,252,"ok",0,0.0103798785776236,0.97,0.134020618556701
"FBgn0053126",1.44720149272866,0.758,0.03,18,4,14,"ok",0.796815458937198,0.112270168855535,0.06,0.222222222222222
"FBgn0051659",NA,NA,NA,7,7,0,"skipped",NA,NA,0.0233333333333333,1
"FBgn0031335",-0.88869641770329,0,0.968,25,6,19,"ok",0,0.97747418157273,0.0833333333333333,0.24
"FBgn0051924",-1.46621529622371,0,0.852,18,3,15,"ok",0,0.899500352858151,0.06,0.166666666666667
"FBgn0031333",NA,NA,NA,15,0,15,"skipped",NA,NA,0.05,0
"FBgn0031332",-0.0808679971911328,0.001,0.541,27,15,12,"ok",0.00181912144702842,0.681187585481326,0.09,0.555555555555556
"FBgn0028481",0.536244359128261,0,0,195,45,150,"ok",0,0,0.65,0.230769230769231
"FBgn0031296",NA,NA,NA,26,0,26,"skipped",NA,NA,0.0866666666666667,0
"FBgn0015905",0.351367295979958,0.001,0.109,60,36,24,"ok",0.00181912144702842,0.25207961352657,0.2,0.6
"FBgn0031298",0.637944150472788,0.009,0.006,108,20,88,"ok",0.0144,0.039303776683087,0.36,0.185185185185185
"FBgn0031301",-0.0815326303327041,0,0.619,43,20,23,"ok",0,0.740597020893732,0.143333333333333,0.465116279069767
"FBgn0031302",-0.272686584141193,0,0.879,70,34,36,"ok",0,0.916764444444444,0.233333333333333,0.485714285714286
"FBgn0031304",0.17913938187955,0,0.167,200,64,136,"ok",0,0.328996872427984,0.666666666666667,0.32
"FBgn0031306",0.231272364038486,0,0.147,134,28,106,"ok",0,0.303483870967742,0.446666666666667,0.208955223880597
"FBgn0031307",0.12472469024772,0,0.262,243,41,202,"ok",0,0.434416181767803,0.81,0.168724279835391
"FBgn0283525",0.677178823247539,0.055,0.021,85,10,75,"ok",0.0760355781448539,0.0895042735042735,0.283333333333333,0.117647058823529
"FBgn0031310",-0.0981004091565145,0,0.692,150,37,113,"ok",0,0.792901483963619,0.5,0.246666666666667
"FBgn0031312",0.0727163032725338,0,0.419,49,8,41,"ok",0,0.5777845373891,0.163333333333333,0.163265306122449
"FBgn0031314",0.189234805848669,0,0.286,82,13,69,"ok",0,0.458151251505822,0.273333333333333,0.158536585365854
"FBgn0031315",5.35193962337046,0.925,0.059,11,1,10,"ok",0.937931034482759,0.172096514745308,0.0366666666666667,0.0909090909090909
"FBgn0051922",0.114395956676112,0.093,0.433,12,5,7,"ok",0.122256590509666,0.590086996128445,0.04,0.416666666666667
"FBgn0031318",0.353630843371701,0,0.037,130,43,87,"ok",0,0.128092565808504,0.433333333333333,0.330769230769231
"FBgn0031319",0.562320401060921,0.002,0.009,85,24,61,"ok",0.00351070695218539,0.0515862068965517,0.283333333333333,0.282352941176471
"FBgn0031321",0.158926935807969,0,0.301,85,15,70,"ok",0,0.473435142594296,0.283333333333333,0.176470588235294
"FBgn0031322",0.423560068961866,0,0.007,176,54,122,"ok",0,0.0433847747281201,0.586666666666667,0.306818181818182
"FBgn0031323",1.47349962787599,0.678,0.057,11,3,8,"ok",0.723457917261056,0.168147892531427,0.0366666666666667,0.272727272727273
"FBgn0031320",0.541249769518113,0.008,0.027,67,21,46,"ok",0.0128965517241379,0.1056,0.223333333333333,0.313432835820896
"FBgn0031317",0.27805264110078,0.007,0.26,37,10,27,"ok",0.0113810623556582,0.43229786051681,0.123333333333333,0.27027027027027
"FBgn0024314",-0.0491052918247175,0,0.587,129,49,80,"ok",0,0.716347099010911,0.43,0.37984496124031
"FBgn0031313",0.108408150549344,0,0.321,115,25,90,"ok",0,0.492276781137878,0.383333333333333,0.217391304347826
"FBgn0031309",0.0488508593839258,0,0.417,92,22,70,"ok",0,0.576155160471023,0.306666666666667,0.239130434782609
"FBgn0031305",-0.299332605326499,0.05,0.557,10,5,5,"ok",0.0697598507810678,0.692733658942118,0.0333333333333333,0.5
"FBgn0016926",0.740137390135968,0.034,0.002,151,136,15,"ok",0.0489960264900662,0.0178760268857356,0.503333333333333,0.900662251655629
"FBgn0261938",0.158703635339201,0,0.254,125,21,104,"ok",0,0.426648701754386,0.416666666666667,0.168
"FBgn0003310",0.0520287319090534,0,0.347,290,125,165,"ok",0,0.515055934515689,0.966666666666667,0.431034482758621
"FBgn0031295",-4.31542303818353,0,0.717,6,5,1,"ok",0,0.8076288,0.02,0.833333333333333
"FBgn0040107",-10.5188513130165,0,0.889,7,1,6,"ok",0,0.923251648733079,0.0233333333333333,0.142857142857143
"FBgn0031273",NA,NA,NA,7,0,7,"skipped",NA,NA,0.0233333333333333,0
"FBgn0011244",-0.239038697079639,0,0.728,43,13,30,"ok",0,0.814499766289614,0.143333333333333,0.302325581395349
"FBgn0031275",0.264513056892652,0,0.03,253,100,153,"ok",0,0.112270168855535,0.843333333333333,0.395256916996047
"FBgn0041250",0.246327352801303,0,0.094,153,81,72,"ok",0,0.229309417040359,0.51,0.529411764705882
"FBgn0031279",-0.208779666144719,0.001,0.664,24,12,12,"ok",0.00181912144702842,0.774084550944867,0.08,0.5
"FBgn0051658",59.6504477636342,0.934,0.079,13,1,12,"ok",0.94497523036605,0.207113253012048,0.0433333333333333,0.0769230769230769
"FBgn0086130",0.0172298805656455,0,0.469,42,9,33,"ok",0,0.621318574274961,0.14,0.214285714285714
"FBgn0031282",-0.242629026450776,0,0.68,57,6,51,"ok",0,0.784938271604938,0.19,0.105263157894737
"FBgn0015621",0.351090563038812,0,0.007,227,107,120,"ok",0,0.0433847747281201,0.756666666666667,0.47136563876652
"FBgn0031285",-0.0111268352125594,0,0.52,130,32,98,"ok",0,0.663329780430612,0.433333333333333,0.246153846153846
"FBgn0010583",0.708829609185197,0.002,0.001,295,28,267,"ok",0.00351070695218539,0.0103798785776236,0.983333333333333,0.0949152542372881
"FBgn0020545",-0.101669908612088,0,0.663,90,28,62,"ok",0,0.773521544160655,0.3,0.311111111111111
"FBgn0031288",0.74670125056177,0.323,0.162,15,6,9,"ok",0.375489460903351,0.322544668108468,0.05,0.4
"FBgn0031289",0.0661599588129692,0,0.368,100,49,51,"ok",0,0.534493203883495,0.333333333333333,0.49
"FBgn0002936",-0.0795124132626416,0,0.557,72,7,65,"ok",0,0.692733658942118,0.24,0.0972222222222222
"FBgn0002563",0.17074520674244,0,0.175,283,35,248,"ok",0,0.338844847112118,0.943333333333333,0.123674911660777
"FBgn0020305",-0.23732008488775,0,0.818,86,20,66,"ok",0,0.878799281867145,0.286666666666667,0.232558139534884
"FBgn0029095",0.124382963764063,0,0.264,188,32,156,"ok",0,0.436462494819726,0.626666666666667,0.170212765957447
"FBgn0031287",0.137697552712914,0,0.305,105,33,72,"ok",0,0.476657090624184,0.35,0.314285714285714
"FBgn0020304",0.467726507966508,0,0.001,164,55,109,"ok",0,0.0103798785776236,0.546666666666667,0.335365853658537
"FBgn0031286",0.0633233954342179,0.006,0.443,47,6,41,"ok",0.00985290889132821,0.598873150344516,0.156666666666667,0.127659574468085
"FBgn0031284",0.257267583416518,0.003,0.238,56,12,44,"ok",0.00513134200371588,0.409662591687042,0.186666666666667,0.214285714285714
"FBgn0031283",-2.43138566389329,0,0.899,11,9,2,"ok",0,0.929523282937365,0.0366666666666667,0.818181818181818
"FBgn0031281",-0.218149676894649,0,0.825,95,33,62,"ok",0,0.883069492889724,0.316666666666667,0.347368421052632
"FBgn0000442",0.472345163963047,0,0.006,150,39,111,"ok",0,0.039303776683087,0.5,0.26
"FBgn0026438",0.0915448270163483,0,0.28,224,86,138,"ok",0,0.451988130563798,0.746666666666667,0.383928571428571
"FBgn0284247",0.40507819197468,0,0.009,192,57,135,"ok",0,0.0515862068965517,0.64,0.296875
"FBgn0004611",0.413068804086881,0,0.002,287,79,208,"ok",0,0.0178760268857356,0.956666666666667,0.275261324041812
"FBgn0053127",-1.91773102634488,0.008,0.878,23,2,21,"ok",0.0128965517241379,0.915960948396095,0.0766666666666667,0.0869565217391304
"FBgn0000061",0.440506785474354,0,0.002,291,47,244,"ok",0,0.0178760268857356,0.97,0.161512027491409
"FBgn0003278",1.08618789254688,0.727,0,186,11,175,"ok",0.76848048048048,0,0.62,0.0591397849462366
"FBgn0263933",-0.0599713284198324,0,0.625,135,65,70,"ok",0,0.745539718927539,0.45,0.481481481481481
"FBgn0002593",0.521371723026462,0,0.004,219,26,193,"ok",0,0.0296054421768707,0.73,0.118721461187215
"FBgn0031254",-0.0195934632912639,0,0.524,64,21,43,"ok",0,0.666443358129649,0.213333333333333,0.328125
"FBgn0031255",0.167959759523135,0,0.182,166,67,99,"ok",0,0.347784767683219,0.553333333333333,0.403614457831325
"FBgn0004583",0.203875133375908,0,0.087,293,57,236,"ok",0,0.218926829268293,0.976666666666667,0.194539249146758
"FBgn0031256",0.917735060324059,0.26,0.002,165,13,152,"ok",0.310175438596491,0.0178760268857356,0.55,0.0787878787878788
"FBgn0031257",0.361718702552305,0,0.017,295,35,260,"ok",0,0.0779524904214559,0.983333333333333,0.11864406779661
"FBgn0027592",0.3418519779358,0,0.088,118,19,99,"ok",0,0.220101149425287,0.393333333333333,0.161016949152542
"FBgn0003963",0.401600285816743,0,0,264,132,132,"ok",0,0,0.88,0.5
"FBgn0031261",0.308847699065246,0.002,0.144,51,17,34,"ok",0.00351070695218539,0.299981201044386,0.17,0.333333333333333
"FBgn0031263",2.91861991691503,0.808,0.051,42,1,41,"ok",0.841101504740367,0.156584915341201,0.14,0.0238095238095238
"FBgn0031265",0.534754213959038,0.08,0.175,53,5,48,"ok",0.106749916378638,0.338844847112118,0.176666666666667,0.0943396226415094
"FBgn0031266",0.218972666685492,0,0.102,193,66,127,"ok",0,0.242065437239738,0.643333333333333,0.341968911917098
"FBgn0031268",0.27872064151009,0,0.083,191,37,154,"ok",0,0.212798628963153,0.636666666666667,0.193717277486911
"FBgn0023489",0.41801628919175,0,0.004,270,44,226,"ok",0,0.0296054421768707,0.9,0.162962962962963
"FBgn0031270",10.8004254120554,0.939,0,16,1,15,"ok",0.94923152293268,0,0.0533333333333333,0.0625
"FBgn0031267",0.692927947971774,0.15,0.083,47,5,42,"ok",0.188413098236776,0.212798628963153,0.156666666666667,0.106382978723404
"FBgn0021874",0.108947917565805,0,0.286,104,39,65,"ok",0,0.458151251505822,0.346666666666667,0.375
"FBgn0031264",-0.118194711781632,0,0.695,132,30,102,"ok",0,0.794665138052928,0.44,0.227272727272727
"FBgn0260933",-0.0256275573124387,0,0.562,236,49,187,"ok",0,0.69613082177603,0.786666666666667,0.207627118644068
"FBgn0005660",0.373641437231624,0,0.021,255,36,219,"ok",0,0.0895042735042735,0.85,0.141176470588235
"FBgn0031260",0.317046152794016,0,0.078,223,20,203,"ok",0,0.20521081556386,0.743333333333333,0.0896860986547085
"FBgn0010602",0.227739919762027,0,0.172,111,24,87,"ok",0,0.334987144019528,0.37,0.216216216216216
"FBgn0043364",0.281415614641187,0.004,0.225,58,10,48,"ok",0.00672737492973581,0.395650896267999,0.193333333333333,0.172413793103448
"FBgn0015924",0.546464747655215,0.026,0.068,55,11,44,"ok",0.0383117458754001,0.18790671900254,0.183333333333333,0.2
"FBgn0031253",-1.14395939904655,0.406,0.46,17,1,16,"ok",0.460394921356832,0.613812019177166,0.0566666666666667,0.0588235294117647
"FBgn0031252",0.861821481089486,0.287,0.034,76,6,70,"ok",0.33837218008078,0.121502538071066,0.253333333333333,0.0789473684210526
"FBgn0031251",0.432120101113824,0,0.005,288,58,230,"ok",0,0.0345895953757225,0.96,0.201388888888889
"FBgn0031250",NA,NA,NA,22,0,22,"skipped",NA,NA,0.0733333333333333,0
"FBgn0051921",-1.22459042786722,0.014,0.757,8,5,3,"ok",0.0216699430936368,0.835695600036897,0.0266666666666667,0.625
"FBgn0031249",0.419998217677615,0.056,0.315,67,3,64,"ok",0.0773197969543147,0.486253063330324,0.223333333333333,0.0447761194029851
"FBgn0031248",NA,NA,NA,17,0,17,"skipped",NA,NA,0.0566666666666667,0
"FBgn0067779",0.574108174702662,0.086,0.095,28,12,16,"ok",0.113930484835068,0.230995530272247,0.0933333333333333,0.428571428571429
"FBgn0031213",0.200091413196095,0.001,0.295,39,11,28,"ok",0.00181912144702842,0.467128870071447,0.13,0.282051282051282
"FBgn0031216",0.580699336177438,0.004,0.007,150,19,131,"ok",0.00672737492973581,0.0433847747281201,0.5,0.126666666666667
"FBgn0031217",0.672885063125526,0.176,0.225,40,3,37,"ok",0.218118256187222,0.395650896267999,0.133333333333333,0.075
"FBgn0001142",0.147040280541926,0.004,0.34,40,13,27,"ok",0.00672737492973581,0.509085449768548,0.133333333333333,0.325
"FBgn0031224",-0.125843820992785,0.001,0.59,28,20,8,"ok",0.00181912144702842,0.718835386338186,0.0933333333333333,0.714285714285714
"FBgn0031228",1.92659473956894,0.889,0.016,29,2,27,"ok",0.908819680533015,0.0750344827586207,0.0966666666666667,0.0689655172413793
"FBgn0031229",-0.244468432576949,0,0.76,44,14,30,"ok",0,0.837231222385862,0.146666666666667,0.318181818181818
"FBgn0016977",0.392656387102548,0,0,275,112,163,"ok",0,0,0.916666666666667,0.407272727272727
"FBgn0031231",NA,NA,NA,32,0,32,"skipped",NA,NA,0.106666666666667,0
"FBgn0031233",-0.202765404132057,0,0.736,69,14,55,"ok",0,0.819848101265823,0.23,0.202898550724638
"FBgn0031235",NA,NA,NA,43,43,0,"skipped",NA,NA,0.143333333333333,1
"FBgn0031240",0.0865476591880907,0,0.394,78,15,63,"ok",0,0.556914137238691,0.26,0.192307692307692
"FBgn0086856",713.75994730828,0.718,0.08,10,1,9,"ok",0.76004104015567,0.20854715748203,0.0333333333333333,0.1
"FBgn0003444",0.103469302991801,0,0.338,116,23,93,"ok",0,0.507296714321545,0.386666666666667,0.198275862068966
"FBgn0031247",-0.0954558434671018,0,0.621,63,12,51,"ok",0,0.742099650524214,0.21,0.19047619047619
"FBgn0024352",-0.0504029244552364,0,0.582,116,23,93,"ok",0,0.712789193614409,0.386666666666667,0.198275862068966
"FBgn0017457",0.651565448042308,0.011,0.001,107,23,84,"ok",0.0173449275362319,0.0103798785776236,0.356666666666667,0.214953271028037
"FBgn0025686",-0.943984654012692,0.029,0.723,19,2,17,"ok",0.0422588579081943,0.811637182253072,0.0633333333333333,0.105263157894737
"FBgn0031245",-0.0797423085816336,0,0.577,57,9,48,"ok",0,0.708478095824356,0.19,0.157894736842105
"FBgn0031244",0.0969796816110453,0,0.406,44,20,24,"ok",0,0.567906498363721,0.146666666666667,0.454545454545455
"FBgn0086912",0.0249344926071479,0.016,0.467,25,5,20,"ok",0.0245088954306924,0.619560580866866,0.0833333333333333,0.2
"FBgn0031238",0.59310540297025,0.001,0.004,114,35,79,"ok",0.00181912144702842,0.0296054421768707,0.38,0.307017543859649
"FBgn0031239",0.528588362518599,0.001,0.017,133,18,115,"ok",0.00181912144702842,0.0779524904214559,0.443333333333333,0.135338345864662
"FBgn0283652",-0.575003805563187,0,0.87,48,5,43,"ok",0,0.911348796498906,0.16,0.104166666666667
"FBgn0266557",0.278455117536769,0,0.018,296,157,139,"ok",0,0.080652938974167,0.986666666666667,0.530405405405405
"FBgn0031232",0.452318946914118,0.016,0.096,46,10,36,"ok",0.0245088954306924,0.232529447480267,0.153333333333333,0.217391304347826
"FBgn0031227",-0.488266397729299,0,0.834,20,7,13,"ok",0,0.888096093958537,0.0666666666666667,0.35
"FBgn0288229",0.0918332284226872,0,0.358,90,28,62,"ok",0,0.525002328146061,0.3,0.311111111111111
"FBgn0031220",0.817176668126366,0.237,0.008,39,12,27,"ok",0.286130939170786,0.0475628415300546,0.13,0.307692307692308
"FBgn0031219",5.22974628393901,0.484,0.145,6,1,5,"ok",0.538087505805852,0.300912086006589,0.02,0.166666666666667
"FBgn0051973",0.470958382075443,0,0.015,142,25,117,"ok",0,0.0718654923939151,0.473333333333333,0.176056338028169
"FBgn0002121",0.347880880112872,0.01,0.192,60,8,52,"ok",0.015878996948388,0.358927835051546,0.2,0.133333333333333
"FBgn0036970",NA,NA,NA,6,0,6,"skipped",NA,NA,0.02,0
"FBgn0036974",-0.119043668436033,0,0.78,283,63,220,"ok",0,0.851271201896772,0.943333333333333,0.222614840989399
"FBgn0036975",0.0459479091835216,0.003,0.473,57,6,51,"ok",0.00513134200371588,0.6246126006841,0.19,0.105263157894737
"FBgn0024887",0.136772546844322,0,0.282,116,28,88,"ok",0,0.45399192897498,0.386666666666667,0.241379310344828
"FBgn0001259",0.33910069334457,0,0.161,106,13,93,"ok",0,0.321301984325496,0.353333333333333,0.122641509433962
"FBgn0036980",0.0284700174913661,0,0.435,156,37,119,"ok",0,0.591667234913058,0.52,0.237179487179487
"FBgn0011205",0.271680355149066,0,0.074,178,96,82,"ok",0,0.197995081600715,0.593333333333333,0.539325842696629
"FBgn0036985",0.318709508076007,0.003,0.221,66,9,57,"ok",0.00513134200371588,0.390914572864322,0.22,0.136363636363636
"FBgn0284421",-0.236421299306395,0,0.906,155,37,118,"ok",0,0.933695685869285,0.516666666666667,0.238709677419355
"FBgn0036991",-0.364764616626014,0.009,0.697,16,10,6,"ok",0.0144,0.795659671880961,0.0533333333333333,0.625
"FBgn0036993",-0.544146919651284,0,0.966,45,17,28,"ok",0,0.976360780339498,0.15,0.377777777777778
"FBgn0036996",0.491998584016396,0.003,0.046,86,14,72,"ok",0.00513134200371588,0.146768328445748,0.286666666666667,0.162790697674419
"FBgn0036997",0.228201435364845,0,0.18,122,20,102,"ok",0,0.345784911717496,0.406666666666667,0.163934426229508
